date,id,tweet,label
Sat Aug 03 12:50:08 +0000 2019,2297059165,Obstruction on CA-17 Northbound at Granite Creek Rd (Scotts Valley). Lanes blocked. Expect delays.,1
Sat Aug 03 12:05:07 +0000 2019,2297059165,Obstruction on CA-17 Northbound north of Lark Ave (Los Gatos). Right shoulder blocked. Expect delays.,1
Sat Aug 03 10:45:06 +0000 2019,2297059165,Obstruction on CA-17 Northbound north of Lark Ave (Los Gatos). Lane blocked. Expect delays.,1
Sat Aug 03 09:30:08 +0000 2019,2297059165,Accident on CA-17 Southbound at San Tomas Expy (Campbell). Lane blocked. Expect delays.,1
Sat Aug 03 01:25:06 +0000 2019,2297059165,Obstruction on CA-17 Northbound south of Summit Rd (Los Gatos). Lanes blocked. Expect delays.,1
Sat Aug 03 00:50:06 +0000 2019,2297059165,Obstruction on CA-17 Northbound north of Summit Rd (Los Gatos). All lanes blocked. Expect delays.,1
Sat Aug 03 00:30:06 +0000 2019,2297059165,Obstruction on CA-17 Northbound north of Summit Rd (Los Gatos). Lane blocked. Expect delays.,1
Fri Aug 02 22:35:06 +0000 2019,2297059165,Disabled vehicle on CA-17 Southbound exiting at E Hamilton Ave (Campbell). Right lane blocked. Expect delays.,1
Fri Aug 02 22:30:06 +0000 2019,2297059165,Obstruction on CA-17 Southbound at E Hamilton Ave (Campbell). Off Ramp blocked. Expect delays.,1
Fri Aug 02 19:25:08 +0000 2019,2297059165,Disabled vehicle on CA-17 Southbound north of Summit Rd (Los Gatos). Left lane blocked. Expect delays.,1
Fri Aug 02 19:20:06 +0000 2019,2297059165,Obstruction on CA-17 Southbound north of Summit Rd (Los Gatos). Lane blocked. Expect delays.,1
Fri Aug 02 19:00:06 +0000 2019,2297059165,Obstruction on CA-17 Northbound north of San Tomas Expy (Campbell). Lanes blocked. Expect delays.,1
Fri Aug 02 18:30:05 +0000 2019,2297059165,Obstruction on CA-1 Southbound at CA-17 N (Santa Cruz). Right shoulder blocked. Expect delays.,1
Fri Aug 02 18:15:07 +0000 2019,2297059165,Obstruction on CA-1 Northbound south of CA-17 S (Santa Cruz). Lanes blocked. Expect delays.,1
Fri Aug 02 09:00:08 +0000 2019,2297059165,Fire on CA-17 Southbound south of CA-1 N (Santa Cruz). Lanes blocked. Expect delays.,1
Fri Aug 02 05:50:06 +0000 2019,2297059165,Accident on CA-17 Northbound at Bear Creek Rd (Los Gatos). Right shoulder blocked. Expect delays.,1
Fri Aug 02 05:05:41 +0000 2019,2297059165,Accident on CA-17 Southbound at Mt Hermon Rd (Scotts Valley). Lanes blocked. Expect delays.,1
Thu Aug 01 23:10:05 +0000 2019,2297059165,Obstruction on CA-1 Southbound north of CA-17 N (Santa Cruz). Center Divider blocked. Expect delays.,1
Thu Aug 01 21:55:05 +0000 2019,2297059165,Accident with injuries on CA-1 Southbound north of CA-17 N (Santa Cruz). Right shoulder blocked. Expect delays.,1
Thu Aug 01 21:40:05 +0000 2019,2297059165,Accident with injuries on CA-1 Southbound north of CA-17 N (Santa Cruz). At least 1 lane blocked. Expect delays.,1
Thu Aug 01 21:35:06 +0000 2019,2297059165,Accident on CA-1 Southbound north of CA-17 N (Santa Cruz). Lanes blocked. Expect delays.,1
Thu Aug 01 19:45:07 +0000 2019,2297059165,Obstruction on I-280 Northbound ramp to CA-17 S (San Jose). Left lane blocked. Expect delays.,1
Thu Aug 01 18:45:05 +0000 2019,2297059165,Accident on CA-17 Southbound south of Summit Rd (Los Gatos). Right lane blocked. Expect delays.,1
Thu Aug 01 18:35:06 +0000 2019,2297059165,Accident on CA-17 Southbound south of Summit Rd (Los Gatos). Lanes blocked. Expect delays.,1
Thu Aug 01 17:50:06 +0000 2019,2297059165,Obstruction on CA-17 Northbound at CA-1 S (Santa Cruz). Right shoulder blocked. Expect delays.,1
Thu Aug 01 16:35:06 +0000 2019,2297059165,Obstruction on CA-17 Southbound north of Glenwood Cutoff (Scotts Valley). Lanes blocked. Expect delays.,1
Thu Aug 01 16:10:06 +0000 2019,2297059165,Obstruction on CA-17 Southbound north of CA-85 N (Los Gatos). Left shoulder blocked. Expect delays.,1
Thu Aug 01 12:05:06 +0000 2019,2297059165,Accident on I-280 Southbound south of CA-17 S (San Jose). Right shoulder blocked. Expect delays.,1
Thu Aug 01 06:40:06 +0000 2019,2297059165,Obstruction on CA-17 Southbound north of Madrone Dr (Los Gatos). Lanes blocked. Expect delays.,1
Thu Aug 01 01:35:06 +0000 2019,2297059165,Obstruction on CA-1 Southbound at CA-17 N (Santa Cruz). Center Divider blocked. Expect delays.,1
Thu Aug 01 00:50:06 +0000 2019,2297059165,Residual delays on CA-1 Southbound south of CA-17 N (Santa Cruz). Center Divider blocked. Expect delays.,1
Thu Aug 01 00:45:05 +0000 2019,2297059165,Accident on CA-1 Southbound south of CA-17 N (Santa Cruz). Lanes blocked. Expect delays.,1
Wed Jul 31 22:50:08 +0000 2019,2297059165,Disabled bus on CA-17 Southbound south of Alma Bridge Rd (Los Gatos). Lanes blocked. Expect delays.,1
Wed Jul 31 22:35:07 +0000 2019,2297059165,Obstruction on CA-17 Southbound south of Alma Bridge Rd (Los Gatos). Lanes blocked. Expect delays.,1
Wed Jul 31 22:20:07 +0000 2019,2297059165,Obstruction on CA-1 Southbound north of CA-17 N (Santa Cruz). Center Divider blocked. Expect delays.,1
